characteristic,content
C1,waking up is something we all to do every day should not it be stress free possible
C9,inspired by clinical sleep research the up light is a smart bulb that helps you wake up naturally feeling refreshed
C10,and all you to do is change a light bulb
C10,the up light is the smartest light bulb you ever experienced
C10,it is a bluetoothenabled energy efficient multicolored bulb that installs in your bedside lamp
C10,the free up light is extremely user friendly and gives you full control of your lighting from your smart phone or tablet
C10,using only watts it reduces your energy costs and lasts up to years while delivering a wake up experience we think you will love
C10,it is simple
C10,no hubs no wifi connections no additional clutter your nightstand
C10,if you know how to replace a standard light bulb and download the up light is you
C10,it is smart
C10,the up light is designed to provide the right light at the right times to promote sleep wellness
C9,it is science
C9,sleep specialists using light therapy years to help treat sleep phase disorders and we use it ourselves
C9,the same reason sleep doctors tell you to not stare at smart phones or screens at night light has a tremendous impact your sleep wellness
C9,in the evenings light can keep your body from releasing your sleep hormones and in the morning it tells your body when to start your wake and sleep cycles
C9,the science behind it allthe science behind it all
C1,working professionals
C1,waking up work is not always easy especially if you early meetings or late night calls
C10,the up light gently reminds your body of it is proper wake up time in the morning to help keep you track while reducing the bluegreen light in the evening it is easier to fall asleep
C1,parents
C1,let us face it struggling to your kids out of bed every morning is not a fun experience
C1,the up light provides morning stimulation with the same white light that studies shown to help reset circadian rhythms and help them wake up their own naturally
C1,travelersroad warriors
C10,with a durable aluminum casing and no hubs or wifi networks to set up the up light is ultra portable
C10,pack it in your suitcase and swap out the bulb in your hotel room
C1,students
C1,it is never easy waking up early class especially if you were up late working your paper or ummm partying
C10,the up light helps provide the extra stimulation in the morning to make it easier getting up help you back schedule
C9,heres a chart that summarize what makes the up light unique we did lots of research and testing to empower you with the ability to customize your wake up experience while keeping it very simple and intuitive to use
C2,founder steve the night owl chang realized when he married his early bird wife in how happy and incredibly productive she was
C2,try he could he could not naturally wake up in the mornings and it became a passion of his to figure out why
C2,over time steve learned about delayed sleep phase and the effects of light the body
C2,in late steve had the opportunity to participate at startup weekend san diego when he had the privilege of pitching the idea to his team and together they ended up winning place
C5,while his teammates had other commitments steve got much positive feedback he was inspired to continue work project to bring it life
C9,he spoke with numerous doctors and sleep specialists to truly understand the science and requirements
C2,he found a manufacturer who had years of experience with the technology and could build a high quality product at lower cost that the average person could afford it
C2,the result was the up light
C2,some photos of our journey
C2,steve presenting at startup weekend san diegosteve presenting at startup weekend san diego
C4,behind the scenes testing testing and testingbehind the scenes testing testing and testing
C4,testing our prototypes
C4,far we several working prototypes that steve his family and friends testing and using with great success
C2,we are making some final adjustments to our firmware and perfecting our
C6,your funds will help turn dream into a reality and help bring product that can help make mornings easier everyone
C6,your funds will be used to
C3,complete the development
C7,help pay our cost of goods production order and certifications
C7,bring the up light to market
C2,i was never a morning person
C1,you feeling of dread feeling like you are going to be tired the rest of the day
C1,you hit the snooze button hoping that in minutes you d feel refreshed but it never really came you never really felt that way and you kind of muddle through the rest of your day
C1,what would it be like if you can wake up your own without alarm
C1,how would it feel what would you do
C10,that is what we set out to do with the up light
C10,the up light prepares your body waking up and helps reset your sleep clock you start waking up naturally
C10,it is got million colors it uses the latest version of bluetooth it automatically pairs
C10,there are no wifi networks hubs or other accessories you to buy
C10,it is really easy to use
C10,you simply replace your current bulb download the and it connects automatically
C10,set your wake up time and the next morning the uplights starts training your body to wake up naturally
C10,there are a lot other smartbulbs out there today but none of them are completely dedicated to helping you wake up
C2,we want to make that a seamless a perfect experience
C2,think about way
C9,you know how a lot of sleep doctors tell you not to start your screens late at night
C9,the reason is because even the smallest dose of the light is enough to keep your body from producing the right hormones at the right time and we thought let us flip that around
C9,let us use light to wake us up in the morning and at night take out those harmful colors of light that keep you awake it is conducive to sleep
C1,we created the up lights average people like me who would never imagined what it would be like to be a morning person
C1,we created with travelers in mind it is got a durable aluminum casing you can take it with you
C1,we created it students with early classes and the parents who to wake him up
C2,we a daughter who is wonderful and has a love life but she hit phase where she could not herself out of bed and we put the up light in her room and over the next couple of days she started waking up her own
C2,she was happy she was excited about her day
C10,there is no nagging no frustrations it was not stressful it worked
C2,we working very closely with our manufacturers and we created the up light using a tested design that it be reliable and it is production ready we are finalizing our firmware and making finishing touches our
C7,we wanted to be perfect and that is where you come in with your help we can place our orders production and make the up light available everyone
C1,think is every day of your life every single day should not it be a natural and stress free experience
C7,thank you listening
C7,please support our kickstarter share it with your friends
C7,together we can make mornings easier everyone
C10,feature
C9,science
C10,features
C10,features
C1,targetgroup
C1,targetgroup
C1,targetgroup
C1,targetgroup
C10,comparison
C2,story
C2,story
C7,support
C6,timeline
C4,we here one of our prototypes that we are gone test take it and screw it in
C10,download the
C10,you can see here there is nothing there but once you turn it it shows up in you
C10,you can click it and you can adjust colour temperature brightness if you want
C4,and all the colours means you can at night you can take out all the blues and the greens and is a testing when we ship it is going to be fully automated you
C10,wake function
C10,there you it
C10,back to the future may be fictional but the machine that converts food scraps into energy is here because we built it
C10,is a living machine that eats food scraps and makes energy and plant food using microbes with zero waste
C10,it is called the horse
C10,it is portable
C10,it is affordable
C10,it creates jobs and independence from fossil fuel energy and landfilling
C8,we blew through the barrier but we are running out of time
C8,we added a new reward to invite small backers to make a fresh pledge
C8,magnetic sign is carrying the message your tailgate
C9,of what we throw away is biodegradable food landscape waste paper wood and the solution is within our reach locally
C9,worse yet of all the food we produce never gets eaten
C9,food waste is nearly all going to landfills in north america
C7,join us in revolutionizing the way we create and distribute renewable energy by backing the horse project
C10,the horse will eradicate curbside garbage pickup and the carbon emissions associated with long distance trucking
C10,creating a whole new shared carbonnegative transportation model local use less trucking no landfilling renewable energy
C10,combined benefit is disruptive and huge it is decentralized it is portable it is affordable
C1,imagine a technology that can divert waste and create energy offgrid
C1,imagine eliminating the organic waste from your trashcan
C1,imagine making it into two valuable new resources that you can personally or commercially use
C6,our crowd sourcing goal is to both connect likeminded people and to raise enough money to build a containerized version of the horse
C2,the one you see in campaign is going to surrey british columbia our canadian friends will enjoy the one
C1,is how henry ford conceived the model t
C2,is how doc brown conceived the flux capacitor
C2,they inspired us
C6,fords vision was a horseless carriage constructed of the best materials by the best people available using the simplest designs that technology can devise
C6,our vision is a horse with the same characteristics
C2,a century later we are taking it up a notch with biomimicry a machine designed to behave like nature intended
C1,the future is in the year
C6,the vision is to become selfsufficient and to make renewable energy your property and fertilize your own or a nearby garden or farm to grow food and flowers
C10,the horse is both a sustainability and society game changer
C10,it is all about the quadruple bottom line people planet profit and progress
C9,there are restaurants and college campuses in north america
C1,each one should their own horse
C1,imagine the sustainable energy revolution islands resorts zoos museums schools parks convention centers farmers markets music venues apartments and corporate and municipal campuses they turn food scraps into energy
C1,is the beginning
C10,what goes in and what comes out
C10,it will consume tons per year of food scraps beverages fat and paper products
C10,it can create gallons per year of liquid fertilizer up to mwhrs of raw energy
C10,renewable gas that is million btu per year mwhrs of energy is electrical output
C10,the system has accessory valves bbq grills fire pits lights and ovens
C1,how cool is that here is what that means in everyday terms
C5,if you pledge you will be part of the community supported biocycling csb learning community
C10,biocycling means sustainably recycling biodegradable materials like food scraps into something of value
C10,will be a sustaining forum to develop projects share experiences successes challenges ideas and innovation
C10,csb is the operating system the horse
C10,csb is designed to help others run kickstarter campaigns or other initiatives to funding a horse of their own including copy video other media and best practices we identified in running a kickstarter to funding impact unit and onsite bioenergy generation
C4,we a specific csb project in seattle and are hoping to build a demonstration to allow early adopters and innovators a chance to operate system
C5,we can build many projects the campaign supports jump horse with us is the logo we created our csb community
C10,it puts a face our operating system that people can recognize and use at restaurants community gardens and other public places
C10,enabling food waste to food resource
C8,why pledge one without receiving a cool gadget because it is about future generations and paying it forward
C8,we come up with some cool rewards in the pledge levels even though campaign has a social and environmental purpose
C7,check them out
C7,with your help innovative machine can make a really big difference
C10,liquid rocket fuel plants
C8,logo t shirt with message back
C4,our systems are designed and built in the us near seattle in the small town of auburn washington here are some pictures of fabrication of the prototype unit
C2,gas storage fabrication
C2,finished gas storage
C4,water testing the tank
C2,finished tank
C2,doc says roads where we are going we do not any roads
C10,the horse can take a wide range of organic wastes including kitchen trim postconsumer dining room food scraps meat grease oil all edible liquids seafood dairy products starch sugar fruit vegetable small bones soiled paper products napkins tissue paper towels waxed paper grass clippings leaves fats fryer oil grease trap waste beverages alcohol soup condiments eggshells glycerin etc
C10,if a real horse cannot eat it you should not put it in one
C10,example no plastics glass or metal
C10,no soap or cleaning products
C10,too much salt is a bad idea
C10,alcoholic beverages brewery yeast distillery stillage and dairy whey are ok
C10,wood is not bad but not helpful
C10,avoid things that will kill bacteria
C10,the cost of a horse is
C6,we set the crowdfunding goal low but we high hopes to give birth to two horses from campaign
C8,while the kickstarter platform has a limit of we are prepared to credit of any pledge toward a subsequent purchase of a horse or before april
C10,will really surprise you our horse works around the clock to perpetually recover the power embedded in food waste
C10,when generating electricity energy converts into about kwh per year
C1,if a tesla gets around miles per kwh our horse could power that tesla to go about miles per year
C1,not bad
C1,keep in mind that car weighs tons though
C2,to improve transportation productivity we decided to lose the unnecessary weight and create a carbon neutral urban cargo tricycle powered by human and electric motorhub
C1,let us go backtothefuture and call the horsepowered carriage
C10,fully loaded carriage weighs around tons
C10,we can squeeze the work out of every kwh and transport stuff miles per kwh
